PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO453398,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,$151691.64,01/02/2013,"DC PREPARATORY ACADEMY,PCS",707 EDGEWOOD STREET NE   ; WASHINGTON  ; DC  ; 20017-,WASHINGTON  ,DC
PO456934,LOTTERY & CHARITABLE GAMES CONTROL BOARD,"PENS (GENERAL WRITING TYPES): BALL POINT, NYLON TIP, PLASTIC TIP, ETC. 80",$8000.00,02/22/2013,MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY,STANDARD BUSINESS FURNITURE 35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011-,WASHINGTON  ,DC
PO445663-V2,OFFICE OF CHIEF FINANCIAL OFFICER,"POSTAGE RELATED PURCHASES (INCL. POSTAGE STAMPS, PRE-SORT 1ST CLASS INSCRIPTIONS, POSTAGE BY PHONE FOR METERS, ETC.) 57",$412004.30,02/22/2013,UNITED STATES POSTAL SERVICE,2833 ALABAMA AVE. SE P.O.BOX 31158  ; WASHINGTON  ; DC  ; 20020-,WASHINGTON  ,DC
PO456950,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$233454.52,02/22/2013,KEYSTONE PLUS CONSTRUCTION COR,"1600 K STREET, N.W. SUITE 350  ; WASHINGTON  ; DC  ; 20006-",WASHINGTON  ,DC
PO456931,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,AUDIO/VIDEO PRODUCTION SERVICES COMPLETE 09,$41350.22,02/22/2013,"MVS, INC.",1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO456987,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$64000.00,02/22/2013,SCHOLAR ACADEMIES,1200 LIBERTY RIDGE DR STE 300  ; WAYNE  ; PA  ; 19087,WAYNE  ,PA
PO445618-V2,OFFICE OF CHIEF FINANCIAL OFFICER,PEN AND PENCIL SETS 85,$4089.47,02/22/2013,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO456924,OFFICE OF THE ATTORNEY GENERAL,LEGAL SERVICES INCLUDING DEPOSITIONS AND EXPERT WITNESS TESTIMONY 50,$2510.20,02/22/2013,"MGB REPORTING, INC",9805 KORMAN COURT  ; POTOMAC  ; MD  ; 20854,POTOMAC  ,MD
PO456958,OFFICE OF CHIEF FINANCIAL OFFICER,CHECK PRINTING 13,$45772.00,02/22/2013,PROFORMA DOCUCOM SERVICES LLC,46 LANOCHE COURT  ; WILLIAMSVILLE  ; NY  ; 14221,WILLIAMSVILLE  ,NY
PO456947,DEPARTMENT OF MOTOR VEHICLES,COMPUTER SOFTWARE CONSULTING 29,$8910.00,02/22/2013,"XEROX STATE & LOCAL SOLUTIONS, INC.",45 GLOVER AVENUE C/O CORPORATE TAX DEPT.  ; NORWALK  ; CT  ; 06856-4505,NORWALK  ,CT
PO456989,DEPARTMENT OF MOTOR VEHICLES,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$13050.00,02/22/2013,"XEROX STATE & LOCAL SOLUTIONS, INC.",45 GLOVER AVENUE C/O CORPORATE TAX DEPT.  ; NORWALK  ; CT  ; 06856-4505,NORWALK  ,CT
PO455853-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$79000.00,02/22/2013,"PUBLIC CONSULTING GROUP, INC.",148 STATE ST                                       10TH FLOOR  ; BOSTON  ; MA  ; 02109,BOSTON  ,MA
PO450415-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,$161000.00,02/22/2013,"SIVIC SOLUTIONS GROUP, LLC",118 SYLVAN WAY  ; NEW HARTFORD  ; NY  ; 13413,NEW HARTFORD  ,NY
PO457003,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,COMPUTER HARDWARE CONSULTING 28,$182629.11,02/22/2013,"SCHOLASTIC, INC.",557 BROADWAY 4TH FLOOR   ; NEW YORK  ; NY  ; 10012-,NEW YORK  ,NY
PO451118-V2,DEPARTMENT OF HUMAN SERVICES,EMPLOYMENT GENERATING ACTIVITIES 39,$90169.45,02/22/2013,GRANT ASSOCIATES,60 MADISON AVENUE SUITE 704  ; NEW YORK  ; NY  ; 10010-,NEW YORK  ,NY
PO457018,DC PUBLIC LIBRARY,"BOOKS, ALL TYPES (LIBRARY, SCHOOL, ETC.) 18",$2999.00,02/25/2013,"SPRINGSHARE, LLC",801 BRICKELL AVENUE SUITE 900  ; MIAMI  ; FL  ; 33131-3131,MIAMI  ,FL
PO457045,HOMELAND SECURITY GRANTS,"TWO-WAY RADIO, PORTABLE, INCLUDING VEHICLE RADIO RELAY SYSTEMS 74",$1177665.11,02/25/2013,"MOTOROLA, INC.",1303 E. ALGONQUIN ROAD   ; SCHAUMBURG  ; IL  ; 60196-,SCHAUMBURG  ,IL
PO457057,DEPARTMENT OF TRANSPORTATION,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$8000.00,02/25/2013,CNA,959 CONCORD ST #200  ; FRAMINGHAM   ; MA  ; 01701,FRAMINGHAM   ,MA
PO457024,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$3000.00,02/25/2013,"ARCOIRIS RECORDS, INC.",5900 WILSHIRE BOULEVARD   SUITE 2300  ; LOS ANGELES  ; CA  ; 90036-0036,LOS ANGELES  ,CA
PO457013,EQUIPMENT LEASE - CAPITAL,EMERGENCY MEDICAL SERVICES (SEE 948-12 FOR AMBULANCE SERVICES) 37,$342470.00,02/25/2013,"METALCRAFT MARINE, INC.",583 EAST BROADWAY   ; CAPE VINCENT   ; NY  ; 13618-,CAPE VINCENT   ,NY
PO457027,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32,$10000.00,02/25/2013,READING PARTNERS,106 LINDEN STREET SUITE 202  ; OAKLAND  ; CA  ; 94607,OAKLAND  ,CA
PO444104-V3,DEPARTMENT OF CORRECTIONS,"HAIR CARE ACCESSORIES: BANDS, CURLERS, NETS, PINS, ROLLERS, ETC. 43",$72000.00,02/25/2013,RONALD STEWART,"DBA/STEWIE BARBERING CONSULTAN 1225 CLIFTON STREET, NW, #203  ; WASHINGTON  ; DC  ; 20009",WASHINGTON  ,DC
PO457056,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"RECORDERS AND PLOTTERS, GENERAL LABORATORY TYPE (STRIP CHART, X-Y, ETC.), AND SUPPLIES: CHART PAPER, DEVELOPING CHEMICALS, INK, PENHOLDERS, PENS, ETC. 54",$3492.09,02/25/2013,"SKY,LLC DBA/US-OFFICE SOLUTION",2335 BLADENSBURG RD. NE   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO457031,D.C. DEPARTMENT OF HUMAN RESOURCES,"PAINTING, MAINTENANCE AND REPAIR SERVICES (INCLUDING CAULKING) 54",$100000.00,02/25/2013,FREEWAY CONSTRUCTION LLC,1402 NORTH CAPITOL STREET #4   ; WASHINGTON  ; DC  ; 20002-,WASHINGTON  ,DC
PO457055,DEPARTMENT OF TRANSPORTATION,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",$29533.80,02/25/2013,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO457008,D.C. DEPARTMENT OF HUMAN RESOURCES,"ADMINISTRATION OF CONTRACTS: SUMMARY OF WORK, QUALITY CONTROL, PROJECT CLOSEOUT, ETC. 03",$108000.00,02/25/2013,"PAYFLEX SYSTEMS USA, INC.","10802 FARNAM DRIVE, SUITE 100  ; OMAHA  ; NE  ; 68154",OMAHA  ,NE
PO450725-V2,D.C. DEPARTMENT OF HUMAN RESOURCES,"ADMINISTRATION OF CONTRACTS: SUMMARY OF WORK, QUALITY CONTROL, PROJECT CLOSEOUT, ETC. 03",$33857.45,02/25/2013,"PAYFLEX SYSTEMS USA, INC.","10802 FARNAM DRIVE, SUITE 100  ; OMAHA  ; NE  ; 68154",OMAHA  ,NE
PO376811-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$180179.20,02/25/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO446331-V2,DEPARTMENT OF GENERAL SERVICES,DESIGN BUILD SERVICES 25,$290000.00,02/25/2013,KADCON CORPORATION,"1053 31ST STREET, NW  ; WASHINGTON  ; DC  ; 20007",WASHINGTON  ,DC
PO457051,DEPARTMENT OF CORRECTIONS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$9000.00,02/25/2013,ANDREW M. STRONGIN,7002 POPLAR AVENUE                                 P.O. BOX 5779  ; TAKOMA PARK  ; MD  ; 20912-4676,TAKOMA PARK  ,MD
PO441048-V2,DEPARTMENT OF PUBLIC WORKS,MULCH/COMPOST PRODUCTION SERVICES 59,$226530.00,02/25/2013,ACME BIOMASS REDUCTION INC.,17328 GEORGIA AVE.  ; OLNEY  ; MD  ; 20832,OLNEY  ,MD
PO457049,CHILD AND FAMILY SERVICES,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$6500.00,02/25/2013,HOWARD UNIVERSITY THE LEARNING ACADEMY,"2244 10TH STREET, NW SUITE 402  ; WASHINGTON  ; DC  ; 20059-",WASHINGTON  ,DC
PO457019,DEPARTMENT ON DISABILITY SERVICES,MEMBERSHIP DUES 48,$9787.00,02/25/2013,COUNCIL OF STATE ADMINISTRATIO,4733 BETHESDA AVE                                  SUITE 330  ; BETHESDA  ; MD  ; 20814,BETHESDA  ,MD
PO443021-V4,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$63124.05,02/25/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO457058,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER NETWORK CONSULTING 30,$26352.00,02/25/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO376810-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$175668.48,02/25/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO457014,OFFICE OF ADMINISTRATIVE HEARINGS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$60000.00,02/25/2013,LEFTWICH & LUDAWAY,1400 K STREET NW                                   SUITE 1000  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO457010,STATE SUPERINTENDENT OF EDUCATION (OSSE),"CONCESSIONS, CATERING, VENDING: MOBILE AND STATIONARY 15",$3659.50,02/25/2013,DUTCHMILL CATERERS,"639 INDIANA AVENUE, NW   ; WASHINGTON  ; DC  ; 20004-",WASHINGTON  ,DC
PO457048,DEPARTMENT OF PUBLIC WORKS,"BUILDING CONSTRUCTION, NON-RESIDENTIAL (OFFICE BLDG., ETC.) 22",$301698.00,02/25/2013,"FORNEY ENTERPRISES, INC.",1818 NEW YORK AVE NE                               STE 201  ; WASHINGTON  ; DC  ; 20002,WASHINGTON  ,DC
PO457047,STATE SUPERINTENDENT OF EDUCATION (OSSE),"ADMINISTRATIVE SERVICES, ALL KINDS  (INCL. CLERICAL,  SECRETARIAL SERVICES, ETC.) 02",$110407.50,02/25/2013,ALL-YOU-NEED TEMPORARY SVCS,1712 I ST NW STE 620  ; WASHINGTON  ; DC  ; 20006-,WASHINGTON  ,DC
PO450046-V4,CHILD AND FAMILY SERVICES,"ADMINISTRATIVE SERVICES, ALL KINDS  (INCL. CLERICAL,  SECRETARIAL SERVICES, ETC.) 02",$12237.92,02/25/2013,NATIONAL CENTER FOR CHILDREN AND FAMILY,6301 GREENTREE ROAD  ; BETHESDA  ; MD  ; 20817-3368,BETHESDA  ,MD
PO457059,OFFICE OF UNIFIED COMMUNICATIONS,"CABLES: PRINTER, DISK, NETWORK, ETC. 13",$14670.94,02/25/2013,"MVS, INC.",1401 14TH STREET NW STE# 200   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO457046,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$548400.00,02/25/2013,"DC CHOICES, LLC","4701 N. KEYSTONE AVE,SUITE 150  ; INDIANAPOLIS  ; IN  ; 46205",INDIANAPOLIS  ,IN
PO455456-V3,DEPARTMENT OF GENERAL SERVICES,"BUILDING CONSTRUCTION, NON-RESIDENTIAL (OFFICE BLDG., ETC.) 22",$15002300.00,02/25/2013,PRINCE CONST/WM SCHLOSSER JV,1111 GOOD HOPE ROAD SE  ; WASHINGTON  ; DC  ; 20020,WASHINGTON  ,DC
PO457007,DEPT. OF HOUSING AND COMM. DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$310805.00,02/25/2013,LATINO ECONOMIC DVLPMNT CORP,2316 18TH ST NW  ; WASHINGTON  ; DC  ; 20009,WASHINGTON  ,DC
PO457050,DEPART OF YOUTH REHABILITATION SERVICES,YOUTH CARE SERVICES 95,$523215.00,02/25/2013,"PCC STRIDE, INC.","3001 BLADENSBURG ROAD, NE  ; WASHINGTON  ; DC  ; 20018",WASHINGTON  ,DC
PO452125-V2,DEPT. OF HOUSING AND COMM. DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$5400.00,02/25/2013,DUN & BRADSTREET,103 JFK PARKWAY   ; SHORT HILLS  ; NJ  ; 07078-,SHORT HILLS  ,NJ
PO457020,DC PUBLIC LIBRARY,EMERGENCY MEDICAL SERVICES (SEE 948-12 FOR AMBULANCE SERVICES) 37,$3610.00,02/25/2013,GEORGE WASHINGTON UNIV HOSP,"900 23RD STREET, NORTHWEST   ; WASHINGTON  ; DC  ; 20037-",WASHINGTON  ,DC
PO457004,DC PUBLIC LIBRARY,CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32,$24500.00,02/25/2013,LYRASIS,"1438 WEST PEACHTREE STREET, N. SUITE 200  ; ATLANTA  ; GA  ; 30309-",ATLANTA  ,GA
PO457016,DEPARTMENT OF TRANSPORTATION,TRANSPORTATION CONSULTING 96,$331191.72,02/25/2013,"ALTA BICYCLE SHARE, INC.",711 SE GRAND AVENUE  ; PORTLAND   ; OR  ; 97214,PORTLAND   ,OR
PO457028,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"EDUCATIONAL: FOREIGN LANGUAGES, MATH, SCIENCE, SOCIAL STUDIES, ETC. 43",$17659.00,02/25/2013,"NCS PEARSON, INC",5601 GREEN VALLEY DRIVE  ; BLOOMINGTON  ; MN  ; 55437,BLOOMINGTON  ,MN
PO457012,STATE SUPERINTENDENT OF EDUCATION (OSSE),"SECURITY SCREENING SERVICES, PERSONNEL 68",$4480.00,02/25/2013,ALLIED BARTON SECURITY SERVICE,3606 HORIZON DRIVE  ; KING OF PRUSSIA  ; PA  ; 19406,KING OF PRUSSIA  ,PA
PO446747-V2,DC PUBLIC LIBRARY,"PROGRAMMING: BASIC, ASSEMBLER, COMPUTER ASSISTED SOFTWARE ENGINEERING TOOLS (CASE), LIBRARIES, ETC. 67",$666843.24,02/25/2013,XEROX CORPORATION,100 S. CLINTON AVENUE XRX2-40A  ; ROCHESTER  ; NY  ; 14644-,ROCHESTER  ,NY
PO457029,DEPT. OF CONSUMER AND REGULATORY AFFAIRS,"COPY MACHINES, BOND (PLAIN) PAPER TYPE INCLUDING PARTS AND ACCESSORIES 38",$12095.88,02/25/2013,XEROX CORPORATION,100 S. CLINTON AVENUE XRX2-40A  ; ROCHESTER  ; NY  ; 14644-,ROCHESTER  ,NY
PO457032,DEPT. OF HOUSING AND COMM. DEVELOPMENT,"COPY MACHINE, PLAIN PAPER TYPE (INCLUDING COST-PER-COPY TYPE LEASES) RENTAL OR LEASE 26",$122030.20,02/25/2013,XEROX CORPORATION,100 S. CLINTON AVENUE XRX2-40A  ; ROCHESTER  ; NY  ; 14644-,ROCHESTER  ,NY
PO441051-V2,DEPARTMENT ON DISABILITY SERVICES,TRANSITIONAL LIVING 92,$196136.16,02/25/2013,CARL'S PLACE,1523 WHITE PLACE SE   ; WASHINGTON  ; DC  ; 20020-,WASHINGTON  ,DC
PO457015,DEPARTMENT OF TRANSPORTATION,"MAINTENANCE AND REPAIR, BRIDGES 66",$262899.63,02/25/2013,CITELUM DC LLC,832 A OREGON AVE   ; LINTHICUM  ; MD  ; 21090,LINTHICUM  ,MD
PO457100,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$7440.00,02/26/2013,JUDY BYRON,"1910 PARK ROAD, NW   ; WASHINGTON  ; DC  ; 20010-",WASHINGTON  ,DC
PO457095,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$3150.00,02/26/2013,CORY OBERNDORFER,"4335 HARRISON STREET, NW, #4   ; WASHINGTON  ; DC  ; 20015-",WASHINGTON  ,DC
PO457139,OFFICE OF CHIEF FINANCIAL OFFICER,COMPUTER HARDWARE CONSULTING 28,$96410.00,02/26/2013,GARTNER INC,56 TOP GALLANT   ; STAMFORD  ; CT  ; 06904-,STAMFORD  ,CT
PO457154,OFFICE OF CHIEF FINANCIAL OFFICER,,$3000.00,02/26/2013,IRON MOUNTAIN,1000 CAMPUS DRIVE  ; COLLEGEVILLE  ; PA  ; 19426,COLLEGEVILLE  ,PA
PO457166,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$13280.00,02/26/2013,SCHOOLWIDE INC.,65 ORVILLE DR.  ; BOHEMIA  ; NY  ; 11716,BOHEMIA  ,NY
PO453578-V2,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$13500.00,02/26/2013,METRO DC GLBT COMM CTR,1111 14TH STREET NW                                #350  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO456730,DEPARTMENT OF TRANSPORTATION,CONFERENCE COORDINATING AND PLANNING SERVICES 23,$7958.53,02/26/2013,SODEXHO,PO BOX 590504  ; WASHINGTON  ; DC  ; 20059,WASHINGTON  ,DC
PO457183,DEPARTMENT OF HEALTH,"PRINTERS, MICROCOMPUTER (NOT OTHERWISE CLASSIFIED) 82",$15000.00,02/26/2013,XEROX CORPORATION,100 S. CLINTON AVENUE XRX2-40A  ; ROCHESTER  ; NY  ; 14644-,ROCHESTER  ,NY
PO457086,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$4200.00,02/26/2013,SONDRA ARKIN,1764 CHURCH ST NW   ; WASHINGTON  ; DC  ; 20036-,WASHINGTON  ,DC
PO456815-V2,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$28105.00,02/26/2013,AMERICAN READING COMPANY,201 S. GULPH ROAD   ; KING OF PRUSSIA  ; PA  ; 19406-,KING OF PRUSSIA  ,PA
PO457124,OFFICE OF CABLE TV,CABLE TELEVISION SERVICES (INCLUDES PAY-PER-VIEW SERVICES) 24,$60000.00,02/26/2013,FLORIDA CAPTIONING SERVICES,FLORIDA CAPTIONING SERVICES 43505 INDIAN MOUND TRAIL  ; DELAND  ; FL  ; 32720-,DELAND  ,FL
PO440814-V3,DEPARTMENT OF MENTAL HEALTH,SUBSTATION/HIGH VOLTAGE (ELECTRICAL) MAINTENANCE AND REPAIR 77,$13152.00,02/26/2013,TITUS LLC,"7603 GEORGIA AVE NW, SUITE LL1   ; WASHINGTON  ; DC  ; 20012",WASHINGTON  ,DC
PO457119,DISTRICT DEPARTMENT OF THE ENVIRONMENT,SOFTWARE MAINTENANCE/SUPPORT 45,$7400.00,02/26/2013,"ENFOTECH & CONSULTING, INC.",1368 HOW LANE   ; NORTH BRUNSWICK  ; NJ  ; 08902-,NORTH BRUNSWICK  ,NJ
PO457153,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,SPECIAL EDUCATION 74,$4985.84,02/26/2013,"DON JOHNSTON, INC.",26799 WEST COMMERCE DR  ; VOLO  ; IL  ; 60073,VOLO  ,IL
PO444774-V2,DEPARTMENT OF PUBLIC WORKS,CABLE TELEVISION SERVICES (INCLUDES PAY-PER-VIEW SERVICES) 24,$4458.00,02/26/2013,COMCAST CABLE COMMUNICATIONS,"900 MICHIGAN AVENUE, NE  ; WASHINGTON  ; DC  ; 20017",WASHINGTON  ,DC
PO457087,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$3500.00,02/26/2013,JAMEA RICHMOND-EDWARDS,11815 DEWEY ROAD   ; SILVER SPRING  ; MD  ; 20906-,SILVER SPRING  ,MD
PO457127,DEPARTMENT OF GENERAL SERVICES,"HEATING, VENTILATING AND AIR CONDITIONING (HVAC) 50",$350000.00,02/26/2013,JOHNSON CONTROLS INC,"1101 HAMPTON PARK BLVD BLDG C, SUITE 100  ; CAPITOL HEIGHTS  ; MD  ; 20743-",CAPITOL HEIGHTS  ,MD
PO453585-V2,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$29250.00,02/26/2013,DEAF REACH,3521 12TH STREET NE   ; WASHINGTON  ; DC  ; 20017-,WASHINGTON  ,DC
PO457151,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$5119.50,02/26/2013,NATIONAL 4-H COUNCIL,7100 CONNECTICUT AVENUE  ; CHEVY CHASE  ; MD  ; 20815-4999,CHEVY CHASE  ,MD
PO440833-V2,DEPARTMENT OF MENTAL HEALTH,HAZARDOUS MATERIAL AND WASTE SERVICES (INCLUDING NUCLEAR WASTES) 45,$5028.24,02/26/2013,STERICYCLE INC,28161 N. KEITH DR  ; LAKE FOREST  ; IL  ; 60045,LAKE FOREST  ,IL
PO442488-V2,OFFICE OF THE CHIEF MEDICAL EXAMINER,MORTUARY AND FUNERAL (INCLUDING CREMATORY SERVICES) 64,$75000.00,02/26/2013,"W. H. BACON FUNERAL HOME, INC.",3447 14TH STREET NW  ; WASHINGTON  ; DC  ; 20010,WASHINGTON  ,DC
PO457106,DEPARTMENT OF GENERAL SERVICES,COMMUNICATIONS MARKETING SERVICES 22,$3257.00,02/26/2013,MORGANS INC,900 RHODE ISLAND AVENUE NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO441115-V2,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$9361.00,02/26/2013,WISCONSIN AVE PSYCHIATRIC CENT,4228 WISCONSIN AVE NW PSYCHIATRIC INST OF WASH  ; WASHINGTON  ; DC  ; 20016-,WASHINGTON  ,DC
PO457081,DEPART OF YOUTH REHABILITATION SERVICES,YOUTH CARE SERVICES 95,$287400.00,02/26/2013,WISCONSIN AVE PSYCHIATRIC CENT,4228 WISCONSIN AVE NW PSYCHIATRIC INST OF WASH  ; WASHINGTON  ; DC  ; 20016-,WASHINGTON  ,DC
PO457101,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$2940.00,02/26/2013,KHANH H. LE,713 CRITTENDEN STREET NE   ; WASHINGTON  ; DC  ; 20017-,WASHINGTON  ,DC
PO445633-V2,OFFICE OF CHIEF FINANCIAL OFFICER,COVERS AND ENCLOSURES (ACOUSTICAL AND PROTECTIVE) (FOR EQUIPMENT) 34,$52879.01,02/26/2013,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO445631-V2,OFFICE OF CHIEF FINANCIAL OFFICER,STAPLES 81,$24089.87,02/26/2013,CAPITAL SERVICES AND SUPPLIES,2804 DOUGLAS STREET NE   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO453583-V2,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$45000.00,02/26/2013,US HELPING US PEOPLE INTO LIVI,811 L STREET SE  ; WASHINGTON  ; DC  ; 20003,WASHINGTON  ,DC
PO453569-V2,DEPARTMENT OF HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$28125.00,02/26/2013,"LA CLINICA DEL PUEBLO, INC.","1470 IRVING STREET, NW  ; WASHINGTON  ; DC  ; 20010",WASHINGTON  ,DC
PO457162,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$7325.00,02/26/2013,THE MARYLAND STATE MEDICAL SOC,1211 CATHEDRAL STREET  ; BALTIMORE  ; MD  ; 21201,BALTIMORE  ,MD
PO457082,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$100000.00,02/26/2013,DC ARTS & HUMANITIES EDUCATION,"1835 14TH STREET, NW   ; WASHINGTON  ; DC  ; 20009-",WASHINGTON  ,DC
PO457148,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,TEXTBOOKS: 9TH THRU 12TH GRADE (INCLUDES STUDENT AND TEACHER EDITIONS) 87,$5424.48,02/26/2013,INTAC INC,1110 FIDLER LANE                                   SUITE 1115  ; SILVER SPRING  ; MD  ; 20910,SILVER SPRING  ,MD
PO438187,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$10982.00,02/26/2013,"FLIPPO CONSTRUCTION CO., INC.",3820 PENN BELT PLACE   ; FORESTVILLE  ; MD  ; 20747-,FORESTVILLE  ,MD
PO457102,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$7500.00,02/26/2013,THE THEATRE LAB,"733 8TH STREET, NW   ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO457160,DEPARTMENT OF MENTAL HEALTH,JANITORIAL/CUSTODIAL SERVICES 39,$143477.04,02/26/2013,CLEAN TEAM JANITORIAL SVCS,3202 BANNEKER DR. NE  ; WASHINGTON   ; DC  ; 20018,WASHINGTON   ,DC
PO450883-V2,OFFICE OF CHIEF FINANCIAL OFFICER,ADMINISTRATIVE CONSULTING 06,$210000.00,02/26/2013,DATA CAPTURE TECHNOLOGIES,4922 ASHFORD DRIVE  ; UPPER MARLBORO  ; MD  ; 20772,UPPER MARLBORO  ,MD
PO457141,BOARD OF ELECTIONS,"PENS, FOUNTAIN 79",$31963.13,02/26/2013,MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY,STANDARD BUSINESS FURNITURE 35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011-,WASHINGTON  ,DC
