Name,Address/Phone,CBE#,Certification Categories,Email Address (Public Contact),Expiration Date,Public Contact Name/Phone,Address,AddwUnit,issuite
"JCo Center City, LLC","2600 VIRGINIA AVENUE NW, Suite 701, WASHINGTON, DC / 2022048700",LSZ27383122013,"DZE, SBE, LBE",wjarvis@thejarviscompany.com,12/2/2013,N William Jarvis / 2022048700,2600 VIRGINIA AV NW,2600 VIRGINIA AV NW 701,Y
"JDC Construction Company, LLC","1330 NEW HAMPSHIRE AVENUE NW, Suite 124, WASHINGTON, DC / 2024631950",LSDZ69069072013,"DZE, DBE, SBE, LBE",samuel@jdc-construction.com,7/22/2013,Shawn Samuel / 2024631950,1330 NEW HAMPSHIRE AV NW,1330 NEW HAMPSHIRE AV NW 124,Y
"J-Dos Internationale, Inc.","4506 14TH STREET NW, , WASHINGTON, DC / 2027268650",LSD593072014,"DBE, SBE, LBE",jdos@jdosinternational.com,7/20/2014,Janice Vieira / 2027268650,4506 14TH ST NW,4506 14TH ST NW ,N
"Jenkins Security Consultants, Inc.","2001 BUNKER HILL ROAD NE, , WASHINGTON, DC / 2028329653",LDR45416062014,"ROB, DBE, LBE",Juey@erols.com,6/18/2014,Robert A. Jenkins / 2024491273,2001 BUNKER HILL RD NE,2001 BUNKER HILL RD NE ,N
"Jenks, Inc./ (t/a W.S. Jenks & Son)","953 V STREET NE, , WASHINGTON, DC / 2025296020",LSZ36372052013,"DZE, SBE, LBE",joann@wsjenks.com,5/13/2013,Jerry Siegel / 2025296020,953 V ST NE,953 V ST NE ,N
"Jerome L. Taylor Trucking, Inc.","1455 PENNSYLVANIA AVENUE NW, Suite 400, WASHINGTON, DC / 2022802008",LSDZ27669122014,"DZE, DBE, SBE, LBE",sedney@jlttrucking.com,12/31/2014,Shaina Edney / 2022802008,1455 PENNSYLVANIA AV NW,1455 PENNSYLVANIA AV NW 400,Y
"Jerome S. Paige & Associates, LLC","1691 TAMARACK STREET NW, , WASHINGTON, DC / 2027263081",LSR56423042013,"ROB, SBE, LBE",jpaige@paigeandassociates.com,4/22/2013,Jerome Paige / 2027263081,1691 TAMARACK ST NW,1691 TAMARACK ST NW ,N
"JJB D.C., Inc.","6101 BLAIR ROAD NW, SUITE D, WASHINGTON, DC / 2028125525",LS476032014,"SBE, LBE",JJB4u2@wildblue.net,3/16/2014,Bruce Boone / 2028125523,6101 BLAIR RD NW,6101 BLAIR RD NW ,N
"JJPS, Inc.","605 RALEIGH PLACE SE, , WASHINGTON, DC / 2025621996",LSDZ48461112013,"DZE, DBE, SBE, LBE",info4JJPS@aol.com,11/25/2013,Alexander E.J. Ukoh / 2025621996,605 RALEIGH PLACE SE,605 RALEIGH PLACE SE ,N
"JKB, LLC","801 MT VERNON PLACE NW, , WASHINGTON, DC / 2022895233",LSZR21197042013,"ROB, DZE, SBE, LBE",rkeller@capitalbusinesscenter.com,4/22/2013,Rodney Keller / 2022895233,801 MT VERNON PLACE NW,801 MT VERNON PLACE NW ,N
"JLara Educational Consulting, LLC","7939 ORCHID STREET NW, , WASHINGTON, DC / 2028292546",LSDR85735102014,"ROB, DBE, SBE, LBE",julialar@gmail.com,10/19/2014,Julia Lara / 2028292546,7939 ORCHID ST NW,7939 ORCHID ST NW ,N
"JM Zell Partners, Ltd.","2900 K STREET NW, 850, WASHINGTON, DC / 2026828722",LS44067012014,"SBE, LBE",ostone@jmzell.com,1/6/2014,Marc A. Sobel / 2026828722,2900 K ST NW,2900 K ST NW 850,Y
JMA Solutions,"600 MARYLAND AVENUE SW, Suite 400E, WASHINGTON, DC / 2024658205",LSRV36776022015,"VOB, ROB, SBE, LBE",jma-solutions@jma-solutions.com,2/4/2015,Janice Adams / 2024658205,600 MARYLAND AV SW,600 MARYLAND AV SW 400,Y
"Joe Jackson Associates, P.C.","1818 NEW YORK AVENUE NE, , WASHINGTON, DC / 2025296610",LSDZR14479082013,"ROB, DZE, DBE, SBE, LBE",jjackson2@verizon.net,8/8/2013,Joseph Jackson / 2025296126,1818 NEW YORK AV NE,1818 NEW YORK AV NE ,N
"Johnny Dollar, Inc DBA Rhodes Constructions","3700 SOUTHERN AVENUE SE, , WASHINGTON, DC / 2026075242",LSDZR49033122013,"ROB, DZE, DBE, SBE, LBE",johnnyrhodes22@hotmail.com,12/2/2013,Johnny Rhodes / 2026075242,3700 SERN AV SE,3700 SERN AV SE ,N
"Jones & Wood, Inc.","1702 MINNESOTA AVENUE SE, #1, WASHINGTON, DC / 2026784035",LSDZ20118022015,"DZE, DBE, SBE, LBE",jones_wood_inc@yahoo.com,2/15/2015,Lambertine Jones / 2026784035,1702 MINNESOTA AV SE,1702 MINNESOTA AV SE 1,Y
"Jones Glass, LLC","2901 14TH STREET NW, Suite A, WASHINGTON, DC / 2025254535",LSDZ61738112014,"DZE, DBE, SBE, LBE",robertjones@jonesglass.net,11/20/2014,Robert Jones / 2404680007,2901 14TH ST NW,2901 14TH ST NW ,N
Jordan Honeyman Landscape Architecture LLC,"711 FLORIDA AVENUE NW, , WASHINGTON, DC / 2029860711",LSZ47197082014,"DZE, SBE, LBE",joan@jordanhoneyman.com,8/16/2014,Joan Honeyman / 2029860711,711 FLORIDA AV NW,711 FLORIDA AV NW ,N
"Joseph J. Magnolia, Inc.","600 GALLATIN STREET NE, , WASHINGTON, DC / 2028298510",LX83467032014,"LRB, LBE",ddisque@magnolia-companies.com,3/23/2014,John D. Magnolia / 2028298510,600 GALLATIN ST NE,600 GALLATIN ST NE ,N
"JPJ Construction, LLC","3220 GEORGIA AVENUE NW, , WASHINGTON, DC / 2024504198",LSDZRV54956092013,"VOB, ROB, DZE, DBE, SBE, LBE",jpjohnson@jpjconstruction.net,9/23/2013,Jerome Johnson / 2024504198,3220 GEORGIA AV NW,3220 GEORGIA AV NW ,N
JPN Masonry LLC,"2607 24TH STREET NW, Suite 2, WASHINGTON, DC / 2026402650",LS5921032014,"SBE, LBE",omadrid@jpnmasonry.com,3/23/2014,Otto Madrid / 2026402650,2607 24TH ST NW,2607 24TH ST NW 2,Y
"JR Services, LLC","1918 4TH STREET NE, Suite 3, WASHINGTON, DC / 2026353030",LSDZV84531042014,"VOB, DZE, DBE, SBE, LBE",mail@jrservicesusa.com,4/9/2014,John Johnson / 2026353030,1918 4TH ST NE,1918 4TH ST NE 3,Y
JRC MECHANICAL LLC,"3700 SOUTHERN AVENUE SE, , WASHINGTON, DC / 2026075242",LDZR13640112014,"ROB, DZE, DBE, LBE",johnnyrhodes22@hotmail.com,11/9/2014,Johnny Rhodes / 2026075242,3700 SERN AV SE,3700 SERN AV SE ,N
"J's Drywall, INC.","3201 8TH STREET NE, , WASHINGTON, DC / 2022694601",LSZ12088072013,"DZE, SBE, LBE",josef@jsconstruction.us,7/15/2013,Jose V Flores / 5717225411,3201 8TH ST NE,3201 8TH ST NE ,N
Just Economics LLC,"1669 COLUMBIA ROAD NW, Suite 116, WASHINGTON, DC / 2024394176",LSZR77232102014,"ROB, DZE, SBE, LBE",r.rybeck@justeconomicsllc.com,10/22/2014,Richard Rybeck / 2024394176,1669 COLUMBIA RD NW,1669 COLUMBIA RD NW 116,Y
Justin Company,"7820 EASTERN AVENUE NW, Suite B, WASHINGTON, DC / 2022913111",LSD99143062013,"DBE, SBE, LBE",owen@justinco.net,6/17/2013,Ignatius Justin / 2022913111,7820 EERN AV NW,7820 EERN AV NW ,N
"JVP Engineers, P.C.","5101 WISCONSIN AVENUE NW, SUITE 400, WASHINGTON, DC / 2023623001",LSDV32050062014,"VOB, DBE, SBE, LBE",vjpedraza@jvpengineers.com,6/29/2014,J Vicente Pedraza / 2023623001,5101 WISCONSIN AV NW,5101 WISCONSIN AV NW 400,Y
K.C. Home Improvement & Construction,"1202 H STREET NE, , WASHINGTON, DC / 2023967500",LSD70699082014,"DBE, SBE, LBE",kchomeimprove@hotmail.com,8/3/2014,Kim Comstock / 2023967500,1202 H ST NE,1202 H ST NE ,N
Kadcon Corporation,"1053 31ST STREET NW, , WASHINGTON, DC / 2029449400",LSD81169032014,"DBE, SBE, LBE",jtello@kadcon.com,3/16/2014,Riad Kadissi / 2029449400,1053 31ST ST NW,1053 31ST ST NW ,N
Kairos Management,"1341 H STREET NE, Suite 201-L, WASHINGTON, DC / 2029973838",LS4763082014,"SBE, LBE",kwatson@kairosmgt.com,8/16/2014,Keith Watson / 2029973838,1341 H ST NE,1341 H ST NE 201,Y
"Kalos Construction Company, Inc.","325 VINE STREET NW, , WASHINGTON, DC / 2022918780",LS43027082013,"SBE, LBE",tbranson@kalosconstruction.com,8/8/2013,Peter T. Branson / 2022918780,325 VINE ST NW,325 VINE ST NW ,N
Kanvas Enterprises Inc.,"1701 PENNSYLVANIA AVENUE NW, Suite 300, WASHINGTON, DC / 2023611573",LSD49911102014,"DBE, SBE, LBE",ellie@kanvasconstruction.com,10/19/2014,Ellie Djavadkhani / 2023611573,1701 PENNSYLVANIA AV NW,1701 PENNSYLVANIA AV NW 300,Y
KBI Transport Services,"1115 21ST STREET NE, suite 10, WASHINGTON, DC / 2022763465",LSDZXR99510102014,"ROB, LRB, DZE, DBE, SBE, LBE",kutheer@gmail.com,10/19/2014,Katheer Ibrahim / 2022763465,1115 21ST ST NE,1115 21ST ST NE 10,Y
"KCE Structural Engineers, PC","1818 JEFFERSON PLACE NW, , WASHINGTON, DC / 2028338622",LSXR4694032014,"ROB, LRB, SBE, LBE",kce@kcestructural.com,3/16/2014,Allyn Kilsheimer / 2028338622,1818 JEFFERSON PLACE NW,1818 JEFFERSON PLACE NW ,N
KENMORE PEST CONTROL AND TERMITE SERVICES,"3109 MARTIN LUTHER KING JR AVENUE SE, SUITE #5, WASHINGTON, DC / 2025635902",LSDZ43550102013,"DZE, DBE, SBE, LBE",info@kenmorepest.com,10/28/2013,KENNY ADELEKE / 3012546646,3109 MARTIN LUTHER KING JR AV SE,3109 MARTIN LUTHER KING JR AV SE 5,Y
"KEPA, LLC","3219 MOUNT PLEASANT STREET NW, , WASHINGTON, DC / 2024621431",LSR98426072013,"ROB, SBE, LBE",info@oldschoolhardware.com,7/1/2013,Phil Lepanto /,3219 MOUNT PLEASANT ST NW,3219 MOUNT PLEASANT ST NW ,N
"Kern Levine, LLC","818 CONNECTICUT AVENUE NW, SUITE 1009, WASHINGTON, DC / 2024963479",LSR92319062013,"ROB, SBE, LBE",jerry@thetensquaregroup.com,6/17/2013,Jerry Levine / 2024963479,818 CONNECTICUT AV NW,818 CONNECTICUT AV NW 1009,Y
"KEW Consulting, LLC","1434 WHITTIER STREET NW, , WASHINGTON, DC / 2028295973",LSR55309042013,"ROB, SBE, LBE",karen@kew-consulting.net,4/29/2013,Karen Williamson /,1434 WHITTIER ST NW,1434 WHITTIER ST NW ,N
Keystone Plus Construction Corporation,"1600 K STREET NW, 350, WASHINGTON, DC / 2028577903",LSDR37044032013,"ROB, DBE, SBE, LBE",vguzman@keystonedc.com,3/18/2013,Carlos Perdomo / 2028577903,1600 K ST NW,1600 K ST NW 350,Y
KeyUrban,"908 QUINCY STREET NW, , WASHINGTON, DC / 2027445309",LSDZR30536072013,"ROB, DZE, DBE, SBE, LBE",info@keyurban.com,7/22/2013,Dahn Warner /,908 QUINCY ST NW,908 QUINCY ST NW ,N
Kidd International Home Care Services,"6856 EASTERN AVENUE NW, , WASHINGTON, DC / 2027236600",LSDR77458032014,"ROB, DBE, SBE, LBE",mike.kidd@kiddintl.com,3/21/2014,Michael Kidd / 2027236600,6856 EERN AV NW,6856 EERN AV NW ,N
"King Professional Staffing, LLC","5101 MACARTHUR BOULEVARD NW, Suite 200, WASHINGTON, DC / 2028120364",LSDR91490022015,"ROB, DBE, SBE, LBE",gmavrikes@aol.com,2/1/2015,Bryan Irving / 2022580077,5101 MACARTHUR BLVD NW,5101 MACARTHUR BLVD NW 200,Y
KLSL Consulting LLC,"5335 WISCONSIN AVENUE NW, Suite 440, WASHINGTON, DC / 2022868642",LSR84601012014,"ROB, SBE, LBE",katia@klslconsulting.com,1/7/2014,Katia Lind / 2022868642,5335 WISCONSIN AV NW,5335 WISCONSIN AV NW 440,Y
KONSTRUCTURE LLC,"539 QUINCY STREET NW, , WASHINGTON, DC / 2022489666",LSDR48892082013,"ROB, DBE, SBE, LBE",krmoh@yahoo.com,8/8/2013,Kevin Mohammed / 2022489666,539 QUINCY ST NW,539 QUINCY ST NW ,N
"KORAK GLOBAL HEALTHCARE SERVICES, LLC","1818 NEW YORK AVENUE NE, Suite 214D, WASHINGTON, DC / 2023491704",LSD80503052013,"DBE, SBE, LBE",dfamodu@korak.com,5/27/2013,Adedoyin Famodu / 4109615161,1818 NEW YORK AV NE,1818 NEW YORK AV NE 214,Y
Koydol Inc,"7059 BLAIR ROAD NW, Suite 204, WASHINGTON, DC / 2022889749",LSDR11734092013,"ROB, DBE, SBE, LBE",amadou@koydol.com,9/16/2013,Amadou T Agne / 2022889749,7059 BLAIR RD NW,7059 BLAIR RD NW 204,Y
Kramer Consulting Services PC,"3271 M STREET NW, , WASHINGTON, DC / 2023399000",LSZR72170032013,"ROB, DZE, SBE, LBE",jkramer@kramerdc.com,3/11/2013,Jeffrey Kramer / 2023399000,3271 M ST NW,3271 M ST NW ,N
"Kreative Ways & Solutions, LLC","2210 32ND STREET SE, , WASHINGTON, DC / 8882808318",LSDZR55833122013,"ROB, DZE, DBE, SBE, LBE",sherry@kreativeways.com,12/20/2013,Sherry Burton-Ways / 8882808318,2210 32ND ST SE,2210 32ND ST SE ,N
"KTLH Engineers, PC","1818 JEFFERSON PLACE NW, , WASHINGTON, DC / 2028338534",LSR5454112013,"ROB, SBE, LBE",ktlh@ktlhengineers.com,11/10/2013,Allyn Kilsheimer / 2028338622,1818 JEFFERSON PLACE NW,1818 JEFFERSON PLACE NW ,N
Kumi Construction Management Corporation,"3400 INTERNATIONAL DRIVE NW, Suite 4M-200, WASHINGTON, DC / 2026848858",LSD61921102014,"DBE, SBE, LBE",wlawson@kumicm.com,10/19/2014,Charles Kumi / 2026848858,3400 INTERNATIONAL DR NW,3400 INTERNATIONAL DR NW 4,Y
L. A. Howard Construction Company,"1016 5TH STREET NE, , WASHINGTON, DC / 2025435399",LSDZR49072042013,"ROB, DZE, DBE, SBE, LBE",lahowardconstruction@msn.com,4/29/2013,LaZerrick A. Howard / 2025435399,1016 5TH ST NE,1016 5TH ST NE ,N
"L. S. Caldwell & Associates, Inc.","5427 14TH STREET NW, , WASHINGTON, DC / 2025877800",LSDR55879072014,"ROB, DBE, SBE, LBE",ceharvey@LSCaldwell.com,7/3/2014,Loretta S. Caldwell / 2025877800,5427 14TH ST NW,5427 14TH ST NW ,N
"Lakota Contracting, Inc.","900 3RD STREET SE, , WASHINGTON, DC / 2024665270",LSDZR26013052014,"ROB, DZE, DBE, SBE, LBE",roya.a@1lakota.com,5/22/2014,Roya Amirghaffari / 2024665270,900 3RD ST SE,900 3RD ST SE ,N
"Landmark Electrical Supply, LLC","50 FLORIDA AVENUE NE, , WASHINGTON, DC / 2026836099",LSDV96159062014,"VOB, DBE, SBE, LBE",lfoster@landmarkelectricalsupply.com,6/26/2014,Levi Foster / 2026836099,50 FLORIDA AV NE,50 FLORIDA AV NE ,N
Landscape Architecture Bureau,"714 7TH STREET SE, , WASHINGTON, DC / 2025436550",LSR48861032014,"ROB, SBE, LBE",jf@labindc.com,3/23/2014,Jonathan Fitch / 2025436550,714 7TH ST SE,714 7TH ST SE ,N
Laser Art Inc.,"2209 CHANNING STREET NE, , WASHINGTON, DC / 2022694121",LSDZ1917102014,"DZE, DBE, SBE, LBE",myratyler@aol.com,10/5/2014,Andre Tyler / 2022694121,2209 CHANNING ST NE,2209 CHANNING ST NE ,N
"Lawn Restoration Service, Inc.","1407 A STREET SE, 2925 O. Street S.E., WASHINGTON, DC / 2025432004",LSDR94227032014,"ROB, DBE, SBE, LBE",JJones8331@aol.com,3/23/2014,jeffrey l Jones / 2025432004,1407 A ST SE,1407 A ST SE 2925,Y
Lawrence Executive Alliance of Professionals (LEAP) LLC,"1111 23RD STREET NW, Suite 2G, WASHINGTON, DC / 2023494089",LSDZR50316042014,"ROB, DZE, DBE, SBE, LBE",clawrence@leap4staffing.com,4/23/2014,Clayton Lawrence / 2023494089,1111 23RD ST NW,1111 23RD ST NW 2,Y
"LBS Properties, LLC","500 H STREET NE, Suite 31, WASHINGTON, DC / 2025439431",LSDZR41420082014,"ROB, DZE, DBE, SBE, LBE",darryl@poundsdc.com,8/17/2014,Darryl Pounds / 2025439431,500 H ST NE,500 H ST NE 31,Y
LC Systems,"3100 CONNECTICUT AVENUE NW, Suite 334, WASHINGTON, DC / 2029865710",LSXR81583022015,"ROB, LRB, SBE, LBE",lauriec@lcsystems.com,2/22/2015,Laurie Collins / 2029865710,3100 CONNECTICUT AV NW,3100 CONNECTICUT AV NW 334,Y
Lea Landscape Architecture LLC,"123 NORTH CAROLINA AVENUE SE, , WASHINGTON, DC / 2027349331",LSR30089012015,"ROB, SBE, LBE",marsha@lea-landscapearchitect.com,1/4/2015,Marsha Lea / 2027349331,123 N CAROLINA AV SE,123 N CAROLINA AV SE ,N
LED Partners,"5125 MACARTHUR BOULEVARD NW, Suite 37, WASHINGTON, DC / 2022442769",LSD52051042014,"DBE, SBE, LBE",Sybil.Caldwell@verizon.net,4/23/2014,Sybil Caldwell / 2022442769,5125 MACARTHUR BLVD NW,5125 MACARTHUR BLVD NW 37,Y
"LeDroit Park Development Company, LLC","2027 MARTIN LUTHER KING JR AVENUE SE, , WASHINGTON, DC / 2025774007",LSDZRV30131022015,"VOB, ROB, DZE, DBE, SBE, LBE",cmerritt@LPDCO.com,2/1/2015,Carla Merritt / 2025774007,2027 MARTIN LUTHER KING JR AV SE,2027 MARTIN LUTHER KING JR AV SE ,N
"Lee + Papa and Associates, Inc.","638 I STREET NW, , WASHINGTON, DC / 2024666666",LSDZ79258032014,"DZE, DBE, SBE, LBE",sparker@leeandassociatesinc.com,3/9/2014,Jeff Lee / 2024666666,638 I ST NW,638 I ST NW ,N
"Leftwich & Ludaway, LLC (formerly Leftwich & Douglas, P.L.L.C.)","1400 K STREET NW, 1000, WASHINGTON, DC / 2024349100",LSDXR76993062014,"ROB, LRB, DBE, SBE, LBE",NOludaway@leftwichlaw.com,6/11/2014,Natalie Ludaway / 2024349100,1400 K ST NW,1400 K ST NW 1000,Y
Legion Design/Campbell & Associates,"4301 CONNECTICUT AVENUE NW, Suite 240, WASHINGTON, DC / 2022447391",LSV7030102014,"VOB, SBE, LBE",efrazier@legiondesign.com,10/26/2014,frazier endrea / 2022447391,4301 CONNECTICUT AV NW,4301 CONNECTICUT AV NW 240,Y
"Leone Tech, LLC","700 12TH STREET NW, SUITE 700, WASHINGTON, DC / 2029042486",LSDZR4275062014,"ROB, DZE, DBE, SBE, LBE",manif.jaffa@leonetech.net,6/18/2014,Manif Jaffa / 2029042486,700 12TH ST NW,700 12TH ST NW 700,Y
"Lewis Mulitz, LLC","2895 UNIVERSITY TERRACE NW, , WASHINGTON, DC / 2023635559",LSR13845022014,"ROB, SBE, LBE",oslek17@yahoo.com,2/17/2014,Lewis Mulitz / 2023635559,2895 UNIVERSITY TERRACE NW,2895 UNIVERSITY TERRACE NW ,N
"Liberty Engineering, LLP","1609 CONNECTICUT AVENUE NW, Suite 200, WASHINGTON, DC / 2025588282",LSDZR67497062013,"ROB, DZE, DBE, SBE, LBE",admin@liberty-eng.com,6/10/2013,Emmillee Hogan / 2025588282,1609 CONNECTICUT AV NW,1609 CONNECTICUT AV NW 200,Y
"Life Infinite, LLC","634 QUEBEC PLACE NW, , WASHINGTON, DC / 2023918086",LSZR13507072013,"ROB, DZE, SBE, LBE",jasun@lifeinfinite.com,7/29/2013,JaSun D. Frone / 2023918086,634 QUEBEC PLACE NW,634 QUEBEC PLACE NW ,N
Limbic Systems,"2300 M STREET NW, 800, WASHINGTON, DC / 8662546242",LS85873052014,"SBE, LBE",mwilliams@limbicsystems.com,5/8/2014,Marullus Williams / 8662546242,2300 M ST NW,2300 M ST NW 800,Y
"Linden Enterprises, LLC","3249 SUTTON PLACE NW, Unit C, WASHINGTON, DC / 2026184800",LSDR28879122014,"ROB, DBE, SBE, LBE",stacy@lindenent.com,12/20/2014,Stacy Linden / 2026184800,3249 SUTTON PLACE NW,3249 SUTTON PLACE NW ,N
"Lindsay Company, LLC","4402 14TH STREET NE, , WASHINGTON, DC / 2024656060",LSDR49171032014,"ROB, DBE, SBE, LBE",lindsaycompany4402@verizon.net,3/30/2014,Rosalyn Lindsay / 2024656060,4402 14TH ST NE,4402 14TH ST NE ,N
"LIOBmedia, LLC","2233 WISCONSIN AVENUE NW, 315, WASHINGTON, DC / 2026254334",LSD53029122013,"DBE, SBE, LBE",contact@liobmedia.com,12/12/2013,Chima Obioha / 2023380617,2233 WISCONSIN AV NW,2233 WISCONSIN AV NW 315,Y
LJ Consultants LLC,"22 GALLATIN STREET NW, , WASHINGTON, DC / 2025875773",LSDZR77305052013,"ROB, DZE, DBE, SBE, LBE",lisa@ljconsults.com,5/13/2013,Lisa James / 2027230674,22 GALLATIN ST NW,22 GALLATIN ST NW ,N
Lockhart's Insurance Services,"3907 GEORGIA AVENUE NW, , WASHINGTON, DC / 2028296222",LSXR80404112014,"ROB, LRB, SBE, LBE",annabelle@lisdc.com,11/16/2014,Cecil BJ Lockhart / 2028296230,3907 GEORGIA AV NW,3907 GEORGIA AV NW ,N
lofft contractors inc,"616 KENNEDY STREET NW, , WASHINGTON, DC / 2025450327",LSDR53184052013,"ROB, DBE, SBE, LBE",asangui@lofftconstruction.com,5/6/2013,Alejandro Sanguinetti / 7033574713,616 KENNEDY ST NW,616 KENNEDY ST NW ,N
LONCH Inc.,"6818 PINEY BRANCH ROAD NW, , WASHINGTON, DC / 2029971783",LSR62805122013,"ROB, SBE, LBE",ch4lon@verizon.net,12/2/2013,Steve Loney / 2029971783,6818 PINEY BRANCH RD NW,6818 PINEY BRANCH RD NW ,N
"Longobardi and Associates DC, LLC","1401 14TH STREET NW, Third Floor, WASHINGTON, DC / 2025369771",LSDZ92183042014,"DZE, DBE, SBE, LBE",erinne@longobardi-associates.com,4/27/2014,Erinne Longobardi / 2025369771,1401 14TH ST NW,1401 14TH ST NW ,N
Lorna Group Inc.,"3119 MARTIN LUTHER KING JR AVENUE SE, , WASHINGTON, DC / 2025635200",LSDZR49618092013,"ROB, DZE, DBE, SBE, LBE",kristalwork@gmail.com,9/2/2013,Kristal Knight /,3119 MARTIN LUTHER KING JR AV SE,3119 MARTIN LUTHER KING JR AV SE ,N
"Lourenco Consultants, Inc.","5171 MACARTHUR BOULEVARD NW, , WASHINGTON, DC / 2029660042",LSR57366042013,"ROB, SBE, LBE",mariana@lourenconsult.com,4/8/2013,Mariana Lourenco / 2029660042,5171 MACARTHUR BLVD NW,5171 MACARTHUR BLVD NW ,N
"LRES,LLC T/A Lewis Real Estate Services","529 14TH STREET NW, Suite 943, WASHINGTON, DC / 2025851143",LSZ97835042014,"DZE, SBE, LBE",freddie@lewisreservices.com,4/3/2014,Freddie Archer / 2025851143,529 14TH ST NW,529 14TH ST NW 943,Y
Lucky Dog LLC,"1220 W STREET NE, , WASHINGTON, DC / 2022691309",LSDZR57042022015,"ROB, DZE, DBE, SBE, LBE",seanlash@ldiwaste.com,2/15/2015,Sean Lash /,1220 W ST NE,1220 W ST NE ,N
"Lyn-Phill Construction, LLC (formerly Lyn-Phil Construction Company, Inc.)","7826 EASTERN AVENUE NW, Suite LL-1, WASHINGTON, DC / 2022915874",LSD8500082013,"DBE, SBE, LBE",JAIME-RAMOS@LYN-PHILLCONSTRUCTION.COM,8/8/2013,Lyndley Turnbull / 2022915874,7826 EERN AV NW,7826 EERN AV NW 1,Y
M Jones & Companies LLC,"3200 12TH STREET NE, , WASHINGTON, DC / 2022711210",LSDR95754022015,"ROB, DBE, SBE, LBE",mjones6452@aol.com,2/28/2015,Mark Jones / 2022711210,3200 12TH ST NE,3200 12TH ST NE ,N
Mabod Inc.,"4901 13TH STREET NW, Suite 117, WASHINGTON, DC / 3013268226",LSDZR48514042013,"ROB, DZE, DBE, SBE, LBE",info@mabod.com,4/22/2013,Emmanuel Oke / 2025875767,4901 13TH ST NW,4901 13TH ST NW 117,Y
MACH3 Construction Company LLC,"6007 DIX STREET NE, , WASHINGTON, DC / 2023883350",LSDZ12491072013,"DZE, DBE, SBE, LBE",mach32006@aol.com,7/15/2013,Herman Sykes / 2023883350,6007 DIX ST NE,6007 DIX ST NE ,N
"Magna Construction and Maintenance Services, Inc.","2405 BENNING ROAD NE, Unit B, WASHINGTON, DC / 2023883880",LSDZ81293082014,"DZE, DBE, SBE, LBE",maxlarez@magnadc.com,8/16/2014,Max Larez / 2023883880,2405 BENNING RD NE,2405 BENNING RD NE ,N
Magnificus Corporation,"37 L STREET SE, , WASHINGTON, DC / 2024846242",LSDZ77678112013,"DZE, DBE, SBE, LBE",akintoye@magnificuscorp.com,11/18/2013,Akintoye Shoetan / 2024846242,37 L ST SE,37 L ST SE ,N
"Mahogany Interiors, Inc.","210 I STREET NE, , WASHINGTON, DC / 2026282066",LSZ21299102013,"DZE, SBE, LBE",beneak@mahoganyinteriors.net,10/21/2013,Beneak Hargrave / 2026282066,210 I ST NE,210 I ST NE ,N
Mai Linh Transportation LLC,"1729 BLADENSBURG ROAD NE, , WASHINGTON, DC / 2023998234",LSZ50473102014,"DZE, SBE, LBE",lmnvn@yahoo.com,10/5/2014,Nam Le / 2025314657,1729 BLADENSBURG RD NE,1729 BLADENSBURG RD NE ,N
Maiden and Associates,"4930 WISCONSIN AVENUE NW, Entire Building, WASHINGTON, DC / 2022442600",LSR79192062014,"ROB, SBE, LBE",wjmaiden@aol.com,6/11/2014,Willie Maiden / 2022442600,4930 WISCONSIN AV NW,4930 WISCONSIN AV NW ,N
Management Solutions Associates,"4021 MARTIN LUTHER KING JR AVENUE SW, , WASHINGTON, DC / 2022712884",LSDZR58016122014,"ROB, DZE, DBE, SBE, LBE",eetienne@dpwsolutions.com,12/5/2014,edouardo etienne / 2022712884,4021 MARTIN LUTHER KING JR AV SW,4021 MARTIN LUTHER KING JR AV SW ,N
Man-Machine Systems Assessment (MSA),"1101 14TH STREET NW, , WASHINGTON, DC / 2024080042",SDZ84449112013,"DZE, DBE, SBE",joe.loya@msaincorp.com,11/10/2013,Joe Loya / 2024080042,1101 14TH ST NW,1101 14TH ST NW ,N
"MANSTAL SERVICES, INC","3715 MARTIN LUTHER KING JR AVENUE SE, SE, WASHINGTON, DC / 2023866213",LSDZ83419072013,"DZE, DBE, SBE, LBE",StellaOgun@verizon.net,7/1/2013,Stella Ogun / 2023868747,3715 MARTIN LUTHER KING JR AV SE,3715 MARTIN LUTHER KING JR AV SE ,N
MAR Construction,"2810 6TH STREET NE, , WASHINGTON, DC / 2023592977",LSDZR86333082013,"ROB, DZE, DBE, SBE, LBE",rosamojica@gmail.com,8/19/2013,Alfredo Mojica / 2023745873,2810 6TH ST NE,2810 6TH ST NE ,N
"Marcus Asset Group, Inc. T/A M & B","3143 OLIVER STREET NW, , WASHINGTON, DC / 2027972800",LSR87717092013,"ROB, SBE, LBE",alfred_l_aldridge@yahoo.com,9/16/2013,Ernest Marcus / 2027972800,3143 OLIVER ST NW,3143 OLIVER ST NW ,N
Margni Incorporated,"603 GALLATIN STREET NW, , WASHINGTON, DC / 2022580211",LSZR15456122014,"ROB, DZE, SBE, LBE",margni_Inc@yahoo.com,12/5/2014,Derrick Ingram / 2022580211,603 GALLATIN ST NW,603 GALLATIN ST NW ,N
