Company Name,Business Structure,Certification Categories,Company Status,Email Address (Public Contact),Expiration Date,NIGP Codes
,,,,,,"Engineering Consulting,"
,,,,,,"CONSULTING SERVICES, CIVIL ENGINEER,"
,,,,,,"Civil Engineering,"
,,,,,,"Concrete Engineering,"
,,,,,,"Foundation Engineering,"
,,,,,,"General Construction: Management, Scheduling, Cost Estimation - Engineering,"
,,,,,,Structural Engineering
"Dupont Computers, Inc.",Corporation,"LRB, DBE, SBE, LBE",Active,sales@dci-online.com,9/8/13,"Monitors, Computerized (Brakes, Lights, RPM, Temperature, etc.),"
,,,,,,"Proof Boxes,"
,,,,,,"Cables: Printer, Disk, Network, etc.,"
,,,,,,"Cameras, Digital, For Windows (Including Liquid Crystal Display),"
,,,,,,"Communication Boards: Fax, Modem (Internal), etc.,"
,,,,,,"Communication Control Units: Concentrators, Multiplexors, Couplers, etc.,"
,,,,,,"Data Entry and Remote Job Entry Devices, Voice Activated: Voice Recognition, Voice Digitization, Speech Synthesizers, etc.,"
,,,,,,"Imaging Systems, Microcomputer (Including Digital Imaging Network (DIN) and Digital Imaging Communications in Medicine (DICOM)),"
,,,,,,"Microcomputers, Desktop or Towerbased,"
,,,,,,"Microcomputers, Handheld, Laptop, and Notebook,"
,,,,,,"Microcomputers, Multi-Processor,"
,,,,,,"Modems, External, Data Communications,"
,,,,,,"Monitors, Color and Monochrome (CGA, VGA, SVGA, etc.),"
,,,,,,"Motherboards,"
,,,,,,"Network Components: Adapter Cards, Bridges, Connectors, Expansion Modules/Ports, Firewall Devices, Hubs, Line Drivers, MSAUs, Routers, Transceivers, etc.,"
,,,,,,"Printer Sharing Devices,"
,,,,,,"Printers, Dot Matrix,"
,,,,,,"Printers, Inkjet,"
,,,,,,"Printers, Laser,"
,,,,,,"Printers, Pen Plotter,"
,,,,,,"Printers, Thermal,"
,,,,,,"Retrieval Systems, Computer Assisted: Indexing, Retrieval (CD ROM Jukebox, etc.) and Access Systems,"
,,,,,,"Scanners, Document: Handheld, Desktop and High Volume,"
,,,,,,"Scanners and Readers, Magnetic Strip,"
,,,,,,"Scanners and Readers, Optical Character: Bar Code, Remittance Scanner/Processors, etc.,"
,,,,,,"Cables: Printer, Disk, Network, etc.,"
,,,,,,"Communication Boards: Fax, Modem (Internal), Network Cards, etc.,"
,,,,,,"Communication Control Units: Concentrators, Multiplexors, Couplers, etc.,"
,,,,,,"Communication Processors and Protocol Convertors: Front-End Processor, Network Interface Module, Protocol Interchange, Switching Controls, etc.,"
,,,,,,"Computer Systems, Digital,"
,,,,,,"Computer Systems, Process Control,"
,,,,,,"Data Entry and Remote Job Entry Devices, Voice Activated: Voice Recognition, Voice Digitization, Speech Synthesizers, etc.,"
,,,,,,"Imaging Systems, Mini and Main Frame Computer,"
,,,,,,"Modems, External Data Communications,"
,,,,,,"Monitors, Color and Monochrome (CGA, VGA, SVGA, etc.),"
,,,,,,"Network Components: Adapter Cards, Bridges, Connectors, Expansion Modules/Ports, Hubs, Line Drivers, MSAUs, Routers, Transceivers, etc.,"
,,,,,,"Power Supplies and Power Related Parts, Internal,"
,,,,,,"Printer Sharing Devices,"
,,,,,,"Printers, Dot Matrix,"
,,,,,,"Printers, High Speed, Line Printers, and Printer Subsystems,"
,,,,,,"Printers, Inkjet,"
,,,,,,"Printers, Laser,"
,,,,,,"Printers, Pen Plotter,"
,,,,,,"Printers, Thermal,"
,,,,,,"Scanners, Document: Handheld, Desktop, and High Volume,"
,,,,,,"Scanners and Readers, Magnetic Strip,"
,,,,,,"Scanners and Readers, Optical Character: Bar Code, Remittance Scanner/Processors, etc.,"
,,,,,,"Storage Devices, Electronic (Disk Drive Compatible),"
,,,,,,"Computer Instructional Aids and Training Devices,"
,,,,,,"Projection Devices and Accessories: Interactive Conferencing Boards, LCD, Pads, Panels, etc.,"
,,,,,,"Recycled Computer Accessories and Supplies,"
,,,,,,"Storage Devices for Tapes and Diskettes: Containers, Racks, etc.,"
,,,,,,"Communications: Networking, Linking, etc. (Includes Clustering Software),"
,,,,,,"Computer Aided Design and Vectorization Software,"
,,,,,,"Database Software,"
,,,,,,"Desktop Publishing,"
,,,,,,"E-Mail Software,"
,,,,,,"Integrated Software,"
,,,,,,"Programming: Basic, Assembler, Computer Assisted Software Engineering Tools (CASE), Libraries, etc.,"
,,,,,,"Project Management,"
,,,,,,"Communications: Networking, Linking, etc.,"
,,,,,,"Computer Aided Design,"
,,,,,,"Database,"
,,,,,,"E-Mail Software,"
,,,,,,"Programming: Basic, Assembler, etc.,"
,,,,,,"Project Management,"
,,,,,,"Communications Cable,"
,,,,,,"Telephone Cables and Wires, Single and Multiconductor, Clad Steel and Copper,"
,,,,,,"Circuit Breakers, Load Centers, Boxes, and Panelboards,"
,,,,,,"Monitors and Related Equipment, Power Line,"
,,,,,,"Circuit Boards, Modular, Printed (PCB), and Proto,"
,,,,,,"Microprocessors (CPU Chips, etc.),"
,,,,,,"Data Books and Tables, Engineering and Surveying,"
,,,,,,"Storage Cabinets, Data Processing,"
,,,,,,"Storage Cabinets, Metal,"
,,,,,,"Diagnostic/Surgical Equipment (Optical and Fiber Optics): Arthroscopes, Bronchoscopes, Colonoscopes, Endoscopes, Proctoscopes, etc.,"
,,,,,,"Monitoring Systems, All Types (Hospital and Patient),"
,,,,,,"Communications Systems (For the Speech Impaired), Display Scanning Type,"
,,,,,,"Communications Equipment and Accessories, Transit Bus,"
,,,,,,"Communications Equipment and Accessories, Train,"
,,,,,,"Computer Output Microfilm/Microfiche (COM) Units: COM Recorders, COM Cameras, COM Tape/Recorder, etc.,"
,,,,,,"Display and Showroom Equipment and Supplies (Including Exhibit Booths),"
,,,,,,"Copyboards, Electronic,"
,,,,,,"Copy Machines, Bond (Plain) Paper Type Including Parts and Accessories,"
,,,,,,"Copy Machines, Coated or Treated Paper Type, Including Parts and Accessories,"
,,,,,,"Copy Machines, Engineering, for Reproduction and Design Production,"
,,,,,,"Copy Machines, Laser, Including Parts and Accessories,"
,,,,,,"Copy Machines, Thermal Type, Including Parts and Accessories,"
,,,,,,"Copy Machine Add-On Accessories,"
,,,,,,"Fax Machines, Parts and Supplies (See Class 725 for Industrial Type and Class 645 for Paper),"
,,,,,,"Office Machines, Equipment, Accessories, and Supplies - Recycled,"
,,,,,,"Copyholders, Mechanical, Adjustable,"
,,,,,,"Copyholders, Nonmechanical, Non-Adjustable,"
,,,,,,"Ribbons, Cash Register,"
,,,,,,"Ribbons, Computer and Data Processing, All Types (For Tab See 610-73),"
,,,,,,"Ribbons, Teleprinter and Teletype, All Types,"
,,,,,,"Ribbons: Check Machine, Time Clock, Time Machine, and Recorder,"
,,,,,,"Ribbons, Tab,"
,,,,,,"Ribbons, Typewriter and Word Processing, Fabric,"
,,,,,,"Ribbons, Typewriter and Word Processing, Film,"
,,,,,,"Ribbons, Typesetting, All Types,"
,,,,,,"Copy Paper - Specialized High Speed (Included Recycled),"
,,,,,,"Animation Equipment and Supplies,"
,,,,,,"Camera Accessories: Batteries, Exposure Meters (Light Meters), Flash Equipment and Bar Lights (See Class 285 for Lamps), Power Packs and Chargers, Tripods, etc.,"
,,,,,,"Camera Attachments: Adapter Rings, Collimators, Filters, Lenses, etc.,"
,,,,,,"Camera Carrying Cases, Gadget Bags, etc.,"
,,,,,,"Camera Tools, Books, Instruction Manuals, etc.,"
,,,,,,"Cameras, Movie; and Accessories,"
,,,,,,"Cameras, Still, Nonspecialized (Incl. Self-Developing Types),"
,,,,,,"Cameras, Still, Specialized (Including Complete Systems for Medical and Dental Photography, Photomicrography, etc.),"
,,,,,,"Copying Equipment (Including Slide Duplicators),"
,,,,,,"Data Acquisition Systems,"
,,,,,,"Display, Exhibit, and Promotional Materials,"
,,,,,,"Communications Systems, Integrated (Includes Telephone, Clock, Intercom, etc.),"
,,,,,,"Telephone Dialing and Answering Apparatus,"
,,,,,,"Telephone Equipment and Piece Parts (Not Lines or Otherwise Listed),"
,,,,,,"Telephone Systems (2-60 Stations), Electronic Key and 1A2,"
,,,,,,"Telephone Systems (Over 60 Stations),"
,,,,,,"Telecommunicators and/or Display Terminals (For The Hearing and Speech Impaired),"
,,,,,,"Telecommunication Parts and Accessories (Not Otherwise Classified),"
,,,,,,"Telecommunication Equipment (Via Satellite) for Police and Emergency Vehicle (Including Radio/Terminal Display),"
,,,,,,"Telephone Switchboards,"
,,,,,,"Computer-Automated Measurement and Control (CAMAC) Systems and Devices, All Kinds,"
,,,,,,"Telephone Line Monitoring Systems,"
,,,,,,"Display Cabinets, Cases, Files, Racks, Stands, etc.,"
,,,,,,"Disc Players, Compact (MP3, etc.),"
,,,,,,"Intercom Systems, Group (For Panel Discussions, Schoolrooms, Hospital Rooms, etc.),"
,,,,,,"Tape, Wire and Cable Marking and Accessories,"
,,,,,,"Antennas and Accessories: Amplifiers, Brackets, Masts, Mounts, Rotators, Standoffs, etc. (Television Only),"
,,,,,,"Teleconference Systems, Audio/Video (To Include Video on Demand Systems),"
,,,,,,"Fiber Testing Apparatus (Except Flammability),"
,,,,,,"Audio Visual Equipment and Supplies (Not Otherwise Classified),"
,,,,,,"Projectional Supplies: Acetate Sheets, Films, Photo-Reflex and Photo-Modifier Materials, etc.,"
,,,,,,"Projection Screens, Standard and Rear-Projection Types,"
,,,,,,"Projection Stands, Tables, etc., Standard and Rear-Projection Types,"
,,,,,,"Projectors, Filmstrip (Standard Types O"
"Yakima Supplies, Inc.",Corporation,"ROB, DBE, SBE, LBE",Active,yakima.supplies@verizon.net,10/21/13,"COMPUTER ACCESSORIES AND SUPPLIES,"
,,,,,,"FURNITURE: OFFICE,"
,,,,,,"OFFICE SUPPLIES, GENERAL,"
,,,,,,"PAPER (FOR OFFICE AND PRINT SHOP USE),"
,,,,,,"SCHOOL EQUIPMENT, TEACHING AIDS, AND SUPPLIES,"
,,,,,,"CONSULTING SERVICES,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Purchasing Consulting (Incl. Specification Development),"
,,,,,,"COURIER DELIVERY SERVICES, PARCEL MAIL, EXPEDITED,"
,,,,,,"Copying Services (Reproduction),"
,,,,,,PHOTOCOPYING SERVICES
"RAFFA, PC",Corporation,LBE,Active,efrench@raffa.com,9/6/14,"Accounting/Auditing/Budget Consulting,"
,,,,,,"Business Consulting, Small,"
,,,,,,"Computer Hardware Consulting,"
,,,,,,"Computer Software Consulting,"
,,,,,,"CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"
,,,,,,"Computer Network Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Employee Benefits Consulting,"
,,,,,,"Human Relations Consulting,"
,,,,,,"Human Resources Consulting,"
,,,,,,"Management Consulting,"
,,,,,,"Organizational Development Consulting,"
,,,,,,"Personnel/Employment Consulting,"
,,,,,,"Accounting and Billing Services (Including Payroll Services),"
,,,,,,"Accounting Services (Not Otherwise Classified),"
,,,,,,"Auditing,"
,,,,,,"Cash Management Services (Incl. Budgeting Services),"
,,,,,,"Certified Public Accountant (CPA) Services,"
,,,,,,"Employee Benefit Funds,"
,,,,,,"Financial Advisor,"
,,,,,,"Financial Services (Not Otherwise Classified),"
,,,,,,"Investment Management Services,"
,,,,,,"Tax Services (Including Tax Preparation, Advisory Services, etc.),"
,,,,,,"Human Resources Development Services,"
,,,,,,"Research and Evaluation, Human Services (Including Productivity Audits)"
"Marshall Moya Design, LLC",Limited Liability Corporation,"ROB, DBE, SBE, LBE",Active,Michael@marshallmoya.com,3/16/14,"Buildings - Architectural Design,"
,,,,,,"Concrete Architectural Services,"
,,,,,,"Design Build Services,"
,,,,,,"Energy Conservation; New Energy Sources (Solar, etc.) - Architectural Services,"
,,,,,,"Environmental - Architectural,"
,,,,,,"Fire Protection - Architectural Services,"
,,,,,,"General Construction - Architectural,"
,,,,,,"Graphic Design - Architectural,"
,,,,,,"Interior Design, Space Planning, and Exhibits/Displays,"
,,,,,,"Irrigation; Drainage; Flood Control - Architectural,"
,,,,,,"Landscape Architecture,"
,,,,,,"Land Development and Planning - Architectural,"
,,,,,,"Designing Services,"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Interior Design/Decorator Services,"
,,,,,,"Professional Services (Not Otherwise Classified),"
,,,,,,"LAYOUT AND GRAPHIC DESIGN SERVICES,"
,,,,,,Graphic Design Services for Printing
"Lindsay Company, LLC",Limited Liability Corporation,"ROB, DBE, SBE, LBE",Active,lindsaycompany4402@verizon.net,3/30/14,"Management Consulting,"
,,,,,,"Real Estate/Land Consulting (Including Land Survey Consulting),"
,,,,,,"Not-For-Credit Classes, Seminars, Workshops, etc.,"
,,,,,,"Partnering Workshop Facilitation Services,"
,,,,,,"Vocational Training, All Types (Including Vocational Rehabilitation and Technical Education),"
,,,,,,Real Estate Management Services (To include Listing and Sales Services)
"R. McGhee & Associates, PLLC",Limited Liability Corporation,"ROB, DZE, DBE, SBE, LBE",Active,AMcGhee@rmc-architects.com,2/24/14,"Architect Services, Professional,"
,,,,,,"Buildings - Architectural Design,"
,,,,,,"Historical Preservation,"
,,,,,,"Interior Design, Space Planning, and Exhibits/Displays,"
,,,,,,"Planning, Site (Installation and Project),"
,,,,,,"Architectural Consulting,"
,,,,,,Historical Studies and Services
TRE Associates,Sole Proprietorship,"ROB, DBE, SBE, LBE",Active,tc.rums@verizon.net,4/13/14,"Project Management,"
,,,,,,"Police Training and Instructional Aids: Wall Charts, etc.,"
,,,,,,"Communications Marketing Services,"
,,,,,,"Conference Coordinating and Planning Services,"
,,,,,,"Administrative Consulting,"
,,,,,,"Business Consulting, Small,"
,,,,,,"Business Consulting, Large,"
,,,,,,"Communications: Public Relations Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Education and Training Consulting,"
,,,,,,"Governmental Consulting,"
,,,,,,"Management Consulting,"
,,,,,,"Marketing Consulting,"
,,,,,,"Minority and Small Business Consulting,"
,,,,,,"Organizational Development Consulting,"
,,,,,,"Personnel/Employment Consulting,"
,,,,,,"Strategic Technology Planning and Consulting Services,"
,,,,,,"Course Development Services, Instructional/Training,"
,,,,,,"In-Service Training (For Employees),"
,,,,,,"Partnering Workshop Facilitation Services,"
,,,,,,"Business Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"Trade Services (Facilitation, Information, Marketing, Promotion, etc.),"
,,,,,,Professional Services (Not Otherwise Classified)
Drake Incorporated,Corporation,"ROB, DZE, DBE, SBE, LBE",Active,sdrake@drake-inc.com,5/9/15,"Administration of Contracts: Summary of Work, Quality Control, Project Closeout, etc.,"
,,,,,,"Doors and Windows,"
,,,,,,"Finishes: Flooring, Wall and Ceiling, etc.,"
,,,,,,"Maintenance and Repair, Industrial Building,"
,,,,,,"Maintenance and Repair, Non-Residential Building,"
,,,,,,"Maintenance and Repair, Residential Buildings (Incl. Single Family Homes and Apartments),"
,,,,,,"Maintenance and Repair, Commercial and Institutional Building,"
,,,,,,"Maintenance and Repair, Agricultural Building,"
,,,,,,"Maintenance and Repair, Educational Building,"
,,,,,,"Maintenance and Repair, Medical Building,"
,,,,,,"Maintenance and Repair, Religious Building,"
,,,,,,"Site Work (Incl. Site Clean-Up),"
,,,,,,"Carpentry,"
,,,,,,"Flooring,"
,,,,,,"Glass and Glazing,"
,,,,,,"Insulation,"
,,,,,,"Metal Work,"
,,,,,,"Painting and Wallpapering,"
,,,,,,"PAINTING STRUCTURAL STEEL AND METAL RAILINGS. THIS WORK SHALL CONSIST OF THE CLEANING AND PREPARATION OF THE METAL SURFACES, THE FURNISHING, APPLICATION AND PROTECTION OF THE PAINT COATINGS AND INCIDENTAL WORK.,"
,,,,,,"Plastering,"
,,,,,,"Plastics,"
,,,,,,"Roofing and Siding,"
,,,,,,"Stucco,"
,,,,,,"Welding,"
,,,,,,"Wood,"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Roofing Consultant,"
,,,,,,"Utilities: Gas, Water, Electric Consulting,"
,,,,,,"Construction Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"Cost Estimating,"
,,,,,,Program/Project Development and Management Services
"Octane, LLC",Limited Liability Corporation,"SBE, LBE",Active,jmcgee@octane-inc.com,6/4/14,"Graphic Arts Services (Not Printing),"
,,,,,,"Communications: Public Relations Consulting,"
,,,,,,"Marketing Consulting,"
,,,,,,"Writing Services, All Kinds (Including Resumes, Calligrapher/Engrosser Services),"
,,,,,,"Event Planning Services,"
,,,,,,Graphic Design Services for Printing
"Arent Fox, LLP",Partnership,LBE,Active,Salisbury.Kurt@ARENTFOX.COM,8/16/14,"Legal Services, Attorneys"
NVS Construction Company,Corporation,"DZE, DBE, SBE, LBE",Active,nvsconstructioncompany@verizon.net,10/21/13,"Acoustical Tile, All Types (Including Recycled Types),"
,,,,,,"Acoustical Tile Insulation,"
,,,,,,"Expansion Joint Material: Asphalt, Rubber, etc.,"
,,,,,,"Expansion Joints,"
,,,,,,"Building Construction, Non-Residential (Office Bldg., etc.),"
,,,,,,"Thermal and Moisture Protection Services,"
,,,,,,"Acoustical Ceilings and Walls: Cleaning, Installation, Restoration, Maintenance and Repair (Including Panel Wall Systems),"
,,,,,,"Concrete Raising and Undersealing Services,"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Engineering Consulting,"
,,,,,,"Feasibility Studies (Consulting),"
,,,,,,"Management Consulting,"
,,,,,,"Construction Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"Cost Estimating,"
,,,,,,"Program/Project Development and Management Services,"
,,,,,,Installation and Removal Services (Not Otherwise Classified)
Jordan Honeyman Landscape Architecture LLC,Limited Liability Corporation,"DZE, SBE, LBE",Active,joan@jordanhoneyman.com,8/16/14,"Architect Services, Professional,"
,,,,,,"Historical Preservation,"
,,,,,,"Landscape Architecture,"
,,,,,,"Site Assessment and Site Field Observation,"
,,,,,,Landscaping Consulting
"Somerset Development Company, LLC",Limited Liability Corporation,"SBE, LBE",Active,njean@somersetdev.com,2/10/14,"Real Estate: Land and Improvements,"
,,,,,,"Community Development Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Housing Consulting,"
,,,,,,"Management Consulting,"
,,,,,,"Real Estate/Land Consulting (Including Land Survey Consulting),"
,,,,,,"Urban Planning Consulting,"
,,,,,,"Slum Redevelopment Services,"
,,,,,,"Urban and Regional Development Services,"
,,,,,,"Project Management Services,"
,,,,,,"Economic Development, Domestic and Foreign"
"Prime Source Technologies, LLC",Limited Liability Corporation,"DBE, SBE, LBE",Active,pyap@primesource.com,5/22/14,"COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS,"
,,,,,,"Cables: Printer, Disk, Network, etc.,"
,,,,,,"COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),"
,,,,,,"Business Software, Misc.: Agenda, Labels, Mail List, Planning, Scheduling, etc.,"
,,,,,,"Language Translation Software,"
,,,,,,"Project Management,"
,,,,,,"Project Management,"
,,,,,,"Warning Systems, Perimeter Anti-Intrusion, Electronic (Including Civil Defense and Natural Disaster Types),"
,,,,,,"Video and Audio Systems, Accessories and Parts (Closed Circuit TV) (Including Surveillance Type),"
,,,,,,"CONSULTING SERVICES,"
,,,,,,"Computer Hardware Consulting,"
,,,,,,"Computer Software Consulting,"
,,,,,,"CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"
,,,,,,"DATA PROCESSING, COMPUTER, PROGRAMMING, AND SOFTWARE SERVICES,"
,,,,,,"Programming Services, Computer,"
,,,,,,"EDUCATIONAL SERVICES,"
,,,,,,"RENTAL OR LEASE SERVICES OF COMPUTERS, DATA PROCESSING, AND WORD PROCESSING EQUIPMENT"
Foote's Plumbing & Heating,Sole Proprietorship,"ROB, DZE, SBE, LBE",Active,FootesPlumbing@msn.com,5/8/15,"Air Conditioning, Heating and Ventilation,"
,,,,,,"Air Conditioning, Heating and Ventilation (Including Defrosters and Defoggers),"
,,,,,,"Plumbing Fixtures and Parts: Lavatories, Showers, Sinks, Toilets (Water Closets), Tubs, etc.,"
,,,,,,"Plumbing Trim: Faucets, Fittings, etc.,"
,,,,,,"TRIM, PLUMBING.( ALL LAVATORY AND SINK FITTINGS TO HAVE FLOW RESTRICTORS).,"
,,,,,,"Water Heater, Residential,"
,,,,,,"Water Heaters, Commercial,"
,,,,,,"Heating, Air Conditioning, and Ventilation Maintenance and Repair Services (Including Installation),"
,,,,,,"Plumbing Maintenance and Repair (Includes Toilets, etc.),"
,,,,,,"Plumbing,"
,,,,,,"Trade Services, Construction (Not Otherwise Classified),"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Management Consulting,"
,,,,,,"Quality Assurance/Control Consulting,"
,,,,,,"Utilities: Gas, Water, Electric Consulting,"
,,,,,,"Plumbing Equipment and Fixtures, Maintenance and Repair,"
,,,,,,"Project Management Services,"
,,,,,,"Cost Estimating,"
,,,,,,"Installation and Removal Services (Not Otherwise Classified),"
,,,,,,"Heating Units, Ventilating Equipment, and Accessories Rental or Lease,"
,,,,,,"Heating, Air Conditioning, Ventilating & Refrigeration Equipment,"
,,,,,,Plumbing Equipment and Supplies
"Millennium Consulting, Inc.",Corporation,"VOB, DZE, SBE, LBE",Active,admin@millenniumconsult.net,3/26/14,"Construction Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Management Consulting,"
,,,,,,"Construction Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"Cost Estimating,"
,,,,,,"Legal Services Including Depositions and Expert Witness Testimony,"
,,,,,,"Program/Project Development and Management Services,"
,,,,,,"Non-Professional Services (Not Otherwise Classified),"
,,,,,,Professional Services (Not Otherwise Classified)
"Capitol Works, Inc.",Corporation,"ROB, SBE, LBE",Active,capworks@msn.com,5/8/14,"Fireworks,"
,,,,,,"Security/Safety Consulting,"
,,,,,,"Amusement and Entertainment Services (Incl. Performing Arts Professionals),"
,,,,,,Fireworks Display and Carnival Services
Martinez & Johnson Architecture,Corporation,"DZE, DBE, SBE, LBE",Active,gmartinez@mjarchitecture.com,2/15/15,"Architect Services, Professional,"
,,,,,,Architectural Consulting
"GCS, Inc.",Corporation,"ROB, LRB, DZE, LBE",Active,msigal@gcs-dc.com,2/10/14,"Building Construction, Commercial and Institutional,"
,,,,,,"CONSTRUCTION SERVICES, GENERAL (INCL. MAINTENANCE AND REPAIR SERVICES),"
,,,,,,"Carpentry,"
,,,,,,"Concrete,"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,Consulting Services (Not Otherwise Classified)
"Colonial Parking, Inc.",Corporation,LBE,Active,margaret@ecolonial.com,9/14/14,"Parking Management Services (Incl. Operations, Admissions, and Supervision),"
,,,,,,"Rental or Lease of Parking Spaces in a Parking Lot or Garage,"
,,,,,,RENTAL OF PARKING SPACES
"Tecknomic, LLC",Limited Liability Corporation,"ROB, DZE, DBE, SBE, LBE",Active,office@tecknomic.com,4/9/14,"ANTENNAS, RADIO,"
,,,,,,"Telephone Equipment and Piece Parts (Not Lines or Otherwise Listed),"
,,,,,,"BASE, RADIO TOWER,"
,,,,,,"Telephone Services Includes Installation, Moves, Changes, Adds, Programming, Removal, Training, etc. (To Include Pay Telephones),"
,,,,,,"CONSULTING SERVICES,"
,,,,,,"Education and Training Consulting,"
,,,,,,"Natural Disasters (Fire, Flood, Wind, Quakes) Consulting,"
,,,,,,"Strategic Technology Planning and Consulting Services,"
,,,,,,"Security/Safety Consulting,"
,,,,,,"Telecommunications Consulting,"
,,,,,,"DATA PROCESSING, COMPUTER, PROGRAMMING, AND SOFTWARE SERVICES,"
,,,,,,"Data Entry Services,"
,,,,,,"Data Preparation and Processing Services,"
,,,,,,"Training, Computer Based (Software Supported),"
,,,,,,"Course Development Services, Instructional/Training,"
,,,,,,"Project Management Services,"
,,,,,,"Translation Services,"
,,,,,,"Disaster Preparedness/Emergency Planning Services,"
,,,,,,"Guard and Security Services,"
,,,,,,Installation of Security Equipment
"V.L. Services, Inc. dba Absoulute Organizing Solutions",Corporation,"ROB, DBE, SBE, LBE",Active,aos@absouluteorg.com,9/14/14,"Administrative Consulting,"
,,,,,,"Business Consulting, Small,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Organizational Development Consulting,"
,,,,,,"Data Entry Services,"
,,,,,,"In-Service Training (For Employees),"
,,,,,,"Training and Instruction (For Clients, Not Staff),"
,,,,,,"Business Management Services,"
,,,,,,"Records Management Services (Including Document Management Services which also includes Technology Integration),"
,,,,,,"Relocation Services for Personnel,"
,,,,,,INSTALLATION OF FILING SYSTEMS
"CSG Urban Partners, LLC",Limited Liability Corporation,"ROB, DZE, DBE, SBE, LBE",Active,sgoring@csgurban.com,10/14/13,"Real Estate: Land and Improvements,"
,,,,,,"Real Estate/Land Consulting (Including Land Survey Consulting),"
,,,,,,"REAL PROPERTY RENTAL OR LEASE,"
,,,,,,"Real Estate (Incl. Buildings, Houses, Land, etc)"
"Avid Systems, LLC",Limited Liability Corporation,"DZE, DBE, SBE, LBE",Active,contracts@avidsys.com,2/1/15,"Computer Hardware Consulting,"
,,,,,,"Computer Software Consulting,"
,,,,,,"Support Services, Computer (Includes Computer Warranties)"
"Sunshine Realty, LLC",Limited Liability Corporation,"ROB, DZE, SBE, LBE",Active,raphielh@sunshinerealty.biz,1/20/14,"Roofing,"
,,,,,,"Grout, Drywall,"
,,,,,,"Real Estate/Property Management,"
,,,,,,"Real Estate/Property Management,"
,,,,,,"Hardwood Flooring,"
,,,,,,"Building Construction, Residential (Apartments, etc.),"
,,,,,,"Painting, Maintenance and Repair Services (Including Caulking),"
,,,,,,"Management Consulting,"
,,,,,,"Building and Facilities Management Services,"
,,,,,,"Property Management Services,"
,,,,,,"Real Estate Management Services (To include Listing and Sales Services),"
,,,,,,"Inspection and Certification Services,"
,,,,,,"Hauling Services,"
,,,,,,"Snow and Ice Removal Services,"
,,,,,,"Grounds Maintenance: Mowing, Edging, Plant (Not Tree) Trimming, etc.,"
,,,,,,"Landscaping (Including Design, Fertilizing, Planting, etc., But Not Grounds Maintenance or Tree Trimming Services),"
,,,,,,"Real Estate (Incl. Buildings, Houses, Land, etc)"
G&C Services & Supply Corp.,Corporation,"DZE, SBE, LBE",Active,ivory@gandcsupply.com,12/19/13,"AIR CONDITIONERS, COMMERCIAL,"
,,,,,,"AIR HANDLER UNITS,"
,,,,,,"PARTS AND ACCESSORIES, AIR CONDITIONER (MISC.),"
,,,,,,"Chillers, Heat Exchangers and Receivers,"
,,,,,,"Duct, Fabricated, Metal,"
,,,,,,"ELECTRICAL CABLES AND WIRES (NOT ELECTRONIC),"
,,,,,,"ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE),"
,,,,,,"ELECTRONIC EQUIPMENT, COMPONENTS, PARTS, AND ACCESSORIES (SEE CLASS 730 FOR TESTING OR ANALYZING TYPE),"
,,,,,,"Pipe Fittings, Misc. (Not Otherwise Classified),"
,,,,,,"Oakum,"
,,,,,,"Pipe Hangers, Concrete Inserts, Joint Restraints, etc.,"
,,,,,,"Pipeline Equipment and Tools (For Construction and Laying of the Pipeline),"
,,,,,,"Valves, Butterfly, All Kinds,"
,,,,,,"Valves, Semi-Steel,"
,,,,,,"Valves, Stainless Steel: Angle, Ball, Check, Gate, Globe, etc.,"
,,,,,,"Valves, Steel: Angle, Check, Gate, Globe, etc.,"
,,,,,,"POWER GENERATION EQUIPMENT, ACCESSORIES, AND SUPPLIES,"
,,,,,,"Hydraulic Pumps, Hand and Motor Driven,"
,,,,,,"Aggregate, Precoated,"
,,,,,,"Slurry Seal,"
